not_crawl_id,popularity
2146991,486
3068206,487
1291828,488
26728669,489
2133323,490
25790761,491
1329936,492
1304447,493
26378579,494
25983044,495
25849049,496
26942631,497
30208010,498
4746257,499
25801066,500
24716039,501
27180759,502
26639958,503
25724855,504
1305164,505
10808442,506
1307739,507
1292523,508
27140071,509
26698000,510
26811587,511
1291586,512
10727641,513
26301582,514
26320029,515
27624661,516
11598977,517
1307442,518
2997076,519
1305065,520
11625097,521
1652618,522
10605978,523
6874403,524
27202819,525
26182910,526
30188253,527
26290367,528
26336253,529
26612258,530
1306809,531
1578507,532
26797419,533
3592853,534
1301445,535
34460763,536
19971676,537
1820156,538
2998373,539
1291844,540
4305436,541
4151110,542
26309788,543
25808075,544
1428175,545
1293318,546
1306861,547
6875263,548
26644002,549
1292286,550
3289086,551
26774033,552
1297630,553
26761416,554
3289081,555
1308767,556
25895901,557
1297223,558
27615233,559
25858785,560
26389696,561
6011806,562
1304073,563
2158490,564
1307315,565
25911694,566
26848167,567
26290410,568
5322596,569
1294371,570
26259634,571
24735062,572
3734112,573
1302827,574
26879060,575
1292484,576
2149806,577
1835843,578
30271841,579
26726098,580
10594965,581
1300992,582
3006772,583
2244426,584
1309199,585
10807909,586
25769362,587
25929151,588
1760622,589
7046723,590
25977027,591
30196805,592
1307023,593
1292337,594
30164448,595
26630781,596
1300498,597
26588314,598
1298653,599
26816090,600
1793929,601
26910820,602
4218768,603
3313801,604
1394968,605
20435622,606
26416603,607
20470074,608
4881607,609
3148027,610
1299680,611
25905044,612
1306160,613
27113517,614
1300064,615
1292225,616
26826398,617
27089612,618
24827406,619
26061679,620
6874456,621
26411409,622
3793783,623
6057942,624
1294833,625
3578981,626
25881786,627
25723583,628
21327493,629
26804147,630
1865703,631
27131218,632
25849006,633
26581837,634
30146756,635
6533054,636
26354572,637
1438652,638
10047547,639
30175306,640
1437342,641
1292262,642
3233635,643
21941804,644
26426194,645
1401533,646
1763134,647
21352814,648
6722879,649
3642835,650
26748673,651
1297995,652
3011308,653
1499008,654
27019527,655
20505982,656
1299643,657
1291822,658
1298525,659
1291838,660
1793491,661
4301043,662
27166976,663
27024959,664
25843976,665
4889554,666
1863766,667
1298644,668
21324900,669
2131940,670
26996734,671
3269068,672
33400376,673
26942645,674
11510624,675
1292659,676
4824512,677
1291870,678
26654269,679
25797778,680
30209084,681
1295280,682
26384741,683
21349734,684
1309043,685
1308752,686
27109633,687
26219652,688
26611801,689
27155276,690
6890730,691
24750534,692
2357162,693
24751763,694
20378811,695
25858759,696
4914468,697
24736566,698
21349345,699
1291577,700
26688480,701
1293964,702
6532822,703
26419637,704
6985810,705
30362186,706
3041294,707
1482911,708
4848115,709
3552028,710
25872931,711
26284621,712
6799191,713
1297862,714
26685451,715
26972258,716
26615208,717
26842702,718
6386345,719
1950148,720
20471852,721
4896304,722
1300374,723
1300566,724
26996640,725
1296201,726
1306505,727
25793398,728
3412830,729
27149818,730
27110363,731
25849475,732
1309060,733
27073057,734
25853727,735
2286642,736
1300656,737
1308817,738
1937946,739
26264454,740
1298038,741
27046758,742
10763164,743
